row,comment,is_NL
10944,"Indicates if an ability is available, and if that ability requires a point.",1
10945,Abstract AdjMgr callback Interface to receive adjacency updates from NX-OS.,1
10946,"Calculate the new weather, returns true if and only if the weather changed.",1
10947,Singleton class for retreiving configuration information from a config file,1
10948,"When overridden in a derived class, gets the length in bytes of the stream.",1
10949,structure storing position of one packet buffer inside the big buffer queue,1
10950,"Compositor layer type, which defines the order that clients are composited.",1
10951,"Minimizes the error (dT*d), i.e. the square distance vector d=(R*p + t - q)",1
10952,Tracks features using Lucas-Kanade tracker and then estimates a homography.,1
10953,This class implements a Poisson disk sampling for the surface of 3D models.,1
10954,This function cleans the fOutputEvents array before starting the execution.,1
10955,Tracks features using Lucas-Kanade tracker and then estimates a homography.,1
10956,"Create a new site attached to the given user object, ready for marshalling.",1
10957,Class to perform FFD specific optimization using steepest gradient descent.,1
10958,Compute the coefficients associated with the values of the volume gradient.,1
10959,Compute the coefficients associated with the values of the volume solution.,1
10960,"Flushes the Broodwar stream, printing all text in the stream to the screen.",1
10961,This method sets dector sample line coordinates from given cube coordinates,1
10962,This is the camera model for Voyager 1 and 2 wide and narrow angle cameras.,1
10964,Stays at the top of its parent like the menu bar and contains tool buttons.,1
10965,"Defines general behaviour of game states such as the Main Menu, and Combat.",1
10966,Model of the boost TokenizerFunction concept for use with boost::tokenizer.,1
10967,build vectors for each programing language depending on the file extension.,1
10968,"Calculate the new weather, returns true if and only if the weather changed.",1
10969,"Calculate the new weather, returns true if and only if the weather changed.",1
10970,"Blocking queue. Mainly implemented by thread, queue and condition_variable.",1
10971,Capsules information about a sample used for model learning and evaluation.,1
10972,"Class to cache information about an element, that varies form item to item.",1
10973,Get the aggregated slab journal statistics for the slabs in this allocator.,1
10974,Schedule an action and act if there is no other action already in progress.,1
10975,Create new render object for simulation object depending on dimensionality.,1
10976,"This class encompasses autonomous, endogenous (no external inputs) systems.",1
10977,This abstract class defines the goal to be reached by a planning algorithm.,1
10978,Method that implements the Melbourne-Wubbena cycle slip detection algorithm,1
10980,with The rotation matrix corresponding to the z-y-x convention is given by:,1
10981,with The rotation matrix corresponding to the z-y-z convention is given by:,1
10983,"Calculate the new weather, returns true if and only if the weather changed.",1
10984,The default constructed ID is that of thread without a thread of execution.,1
10985,Stays at the top of its parent like the menu bar and contains tool buttons.,1
10986,Print basis info for atoms in the molecule (once for each unique atom type),1
10987,"Calculate the new weather, returns true if and only if the weather changed.",1
10988,"Calculate the new weather, returns true if and only if the weather changed.",1
10989,"Calculate the new weather, returns true if and only if the weather changed.",1
10991,This class holds a diagonal matrix. This class will hold only the diagonal.,1
10992,This derived class is used to represent the scheme for a vector of objects.,1
10993,Leds for Webots are not implemented yet. This class is simply a placeholder,1
10994,Defines interface for point-to-point bi-objective shortest path algorithms.,1
10996,This performs bounds checking and translation based on the graphics context,1
10997,"Computes the derivatives, which will be stored in field 'svDerivativesMap'.",1
10998,Method that implements the Melbourne-Wubbena cycle slip detection algorithm,1
10999,Method useful to empty the observer from obseverd value it may have stored.,1
11001,Class that handles xterm mouse events coming through the ncurses interface.,1
11002,Class responsible for animation of stack chaning direction (left <-> right),1
11003,The owner of the custom attribute that was added or is about to be removed.,1
11004,Abstract fixture class. All custom fixtures have to inherit from this class.,1
11005,Should first have checked the validity of the register with isValidRegister.,1
11007,Base class fo various time integration methods for elasticity FE quantities.,1
11008,"Takes Parameters for custom CLI like cmdName, Syntax, Keywords, Params, etc.",1
11009,"Thermal conductivity as a function of temperature, pressure and composition.",1
11010,API to keep the transceiver in reception mode to keep on receiving the data.,1
11011,This is the class used to aggregate the calculated overconsumption of preys.,1
11012,This is the class used to fit a linear regression line to compare 2 vectors.,1
11014,Reduction which returns the Max values and their indices along a single axis,1
11015,Reduction which returns the Max values and their indices along a single axis,1
11016,Represents an endpoint that you can use to access the Entertainment Profile.,1
11017,Represents an endpoint that you can use to access the Entertainment Profile.,1
11018,this base class handles the 4 fov parameters & the seven built-in parameters,1
11019,this base class handles the 4 fov parameters & the seven built-in parameters,1
11020,"At the moment this class is quite basic, with internal linear interpolation.",1
11021,Class to perform FFD specific optimization using conjugate gradient descent.,1
11022,Compute the coefficients associated with the values of the face normal flux.,1
11023,Provides unit tests for the matrix-diagonal matrix multiplication functions.,1
11024,Called when something else modified the transform of the underlaying entity.,1
11025,Method called every tempCCDHistoryInterval seconds to check CCD temperature.,1
11026,Variable to store the automatically determined settings for each resolution.,1
11027,Variable to store the automatically determined settings for each resolution.,1
11028,Variable to store the automatically determined settings for each resolution.,1
11029,Event that is emitted to plugins after a file is exported to the FBX format.,1
11030,This is the camera model for the Mars Global Surveyor MOC wide angle camera.,1
11032,Generational continuator: continues until a number of generations is reached,1
11035,Memory leak listener for detecting memory leaks on Windows more efficiently.,1
11036,This class is a discrete array/vector/sequence of data of a particular type.,1
11037,"Listener interface for deletions happening on a cell, used for transistions.",1
11038,Generational continuator: continues until a number of generations is reached,1
11039,Compute the Weighted Least Mean Squares Solution of the given equations set.,1
11041,Class for functions returning values sinusoidally varying in space and time.,1
11042,Keep last 20 samples for finding the closest sample to a specified timestamp,1
11043,This class is for proximity queries between a circle and a capped rectangle.,1
11044,"Elementwise maximum of input and scalar (with strides) optr = max(val, iptr)",1
11045,Class for referencing an ellipsoid shape that can be visualized in some way.,1
11046,"This is a specialized class for BINARY input from wrapped std::vector<char>,",1
11047,Initializes the PSYC text state struct with custom opening & closing braces.,1
11049,Compute the Weighted Least Mean Squares Solution of the given equations set.,1
11050,Morphological closing to remove holes and gaps from subcutaneous fat region.,1
11051,The class contains all provided information from the user to the application,1
11052,brief A guide class which contains an unselected list of geographical points,1
11053,Send a message from an endpoint. Create the message and flushes immediately.,1
11055,Constructs a blob containing a pointer to a character array with length len.,1
11056,Stub implementation for SearchParser handler. Only handling the icon lookups,1
11057,Called on action new when using an empty template. Override to handle event.,1
11059,Internal exception to be throwed when no more tests left in group or journal.,1
11060,"extended tree, for bootstrap, cluster, etc (do not related to PDA main topic)",1
11061,Alle Befehle erben von Command. Auerdem werden hier die Variablen gehandhabt.,1
11062,"Reducing state used for the EOS (usually, but not always, the critical point)",1
11063,Branch to subroutine. Pushes the PC on the stack and jumps to the subroutine.,1
11064,exception indicating that the connections of an object or network have failed,1
11065,Scan all rectangles in the input stream and compute the mininum bounding box.,1
11066,"Moves the 64-bit operand to a 128-bit integer vector, zeroing the upper bits.",1
11067,the button to send the response to the ready request in the given the section,1
11068,Print the data other than that of the solution of an euler piece to the file.,1
11069,Validates position-based variables (potentially dangerous for a user to call),1
11070,Validates velocity-based variables (potentially dangerous for a user to call),1
11071,"A timer object measures elapsed time, and it is very similar to boost::timer.",1
11072,"this is a bit of a hack, meant to work with all interpolating shape functions",1
11073,Exception class to describe errors in constructors of communication patterns.,1
11074,Event that is emitted to plugins before a file is exported to the FBX format.,1
11075,Key sync filter. Filter to synchronize the keys of a set of animation curves.,1
11076,Constructor (its private so you can't use it). Use the Create Method instead.,1
11077,Constructor (its private so you can't use it). Use the Create Method instead.,1
11078,Constructor (its private so you can't use it). Use the Create Method instead.,1
11079,Constructor (its private so you can't use it). Use the Create Method instead.,1
11080,Constructor (its private so you can't use it). Use the Create Method instead.,1
11081,A little box that can be checked or not. Used to get a boolean from the user.,1
11082,action for setting next hop properties should be listed in the following enum,1
11083,Creates a timer to run a task at the specified interval. Returns -1 on error.,1
11084,This class implements a base class from which all haptic devices are derived.,1
11085,RemoteEndpoint handles incoming and outgoing messages over a stream interface,1
11086,Read data written with the write-pattern command and verify that its correct.,1
11087,This is the abstract base class which provides the interface for all objects.,1
11088,This is the abstract base class which provides the interface for all objects.,1
11089,Set up a ReferenceOperation for which we will need to look up the lock later.,1
11090,Assigns the variable to its value with minimum weight for some weight matrix.,1
11091,Assigns the variable to its value with minimum weight for some weight matrix.,1
11093,Destructor of this framebuffer frame grabber. Releases any claimed resources.,1
11094,Destructor of this framebuffer frame grabber. Releases any claimed resources.,1
11095,Main update method. Override this to do your updates before the render cycle.,1
11097,Init the mesh-function for the evaluation of the volumetric/surface integral.,1
11098,Default base class for handlers. Note that the use of this class is optional.,1
11099,This class provides an implementation of some specific linear Kalman filters.,1
11100,Class for electron-phonon exchange based on the formulation of Hertel for Cu.,1
11101,Enforces constraints on atomic velocity based on FE temperature and velocity.,1
11102,A normal implementation. Basically a vertex with normalization functionality.,1
11103,This class handles file IO operations for a tab-separated-values data record.,1
11104,This class represents a cylinder aligned along the z-axis of its center pose.,1
11105,This class represents a cylinder aligned along the z-axis of its center pose.,1
11106,This is the implementation of a class that is used to handle model resources.,1
11107,RemoteEndpoint handles incoming and outgoing messages over a stream interface,1
11109,Sets the name of the coordinate system. The name must be defined by the user.,1
11111,This class provides a set of functions to make parsing NMEA sentences easier.,1
11112,A component to control an EQ using dots on a graph of the frequency response.,1
11113,"Default constructor, setting default parameters and C1 and L1 as observables.",1
11114,"Default constructor, setting default parameters and PC and LC as observables.",1
11115,"Default constructor, setting default parameters and PI and LI as observables.",1
11117,A virtual member to run a Block Gauss-Seidel iteration in multizone problems.,1
11118,make a deep copy of one atom (the atom extracted is then totally independent),1
11119,Interface for robot specific information that is associated with a given view,1
11120,Calculates occlusion distances for a given distance along rays behind points.,1
11121,An implementation of the gRPC service interface backed by a LevelDB database.,1
11122,An implementation of the gRPC service interface backed by a LevelDB database.,1
11123,Destructor. Define a virtual destructor to enable cleanup in derived classes.,1
11124,Destructor. Define a virtual destructor to enable cleanup in derived classes.,1
11125,Destructor. Define a virtual destructor to enable cleanup in derived classes.,1
11127,Provides the PTPMessage common interface used during building of PTP messages.,1
11128,(This does not mean stringification; it merely inverts ava_string_to_datum().),1
11129,specialise this to handle any note onset processing (e.g. envelope resets etc),1
11130,This is the write function and should implement writing commands to your robot,1
11131,"Clears and deletes the image data, in preparation for re-use for other images.",1
11132,Energy function that combines two energies depending on the normal confidence.,1
11133,Load Local Address. Pushes the address of a value relative to the markpointer.,1
11134,Allows an arbitrary set of initializers to be consolidated into a single node.,1
11135,Constructs a 128-bit floating-point vector of [4 x float] initialized to zero.,1
11136,"Set the interval value, which defines at what interval the observer is called.",1
11137,Class that holds information about a property and it's required initial value.,1
11138,Allocates new integer with 1B width The width cannot be changed once allocated,1
11141,Allocates new integer with 8B width The width cannot be changed once allocated,1
11142,Kmer Reader from file. posix reader skips non sequence characters such as EOL.,1
11143,Allocates new integer with 1B width The width cannot be changed once allocated,1
11145,Allocates new integer with 4B width The width cannot be changed once allocated,1
11146,Allocates new integer with 8B width The width cannot be changed once allocated,1
11147,This is the camera model for the Mars Global Surveyor MOC narrow angle camera.,1
11148,Used to provide HMAC keys to WinCAPI CryptoHashHMAC Provides two types of key.,1
11149,whether a pedestrian is blocking the crossing of lane at offset distToCrossing,1
11150,DBList: class to provide management access to all open databases (Riak vnodes),1
11151,A functor that compares elements accoring to their error. Used by std::sort().,1
11152,A method has been called on an oject which has not been completely set up yet.,1
11153,Creates shader modifications defined in shader_rules game configuration files.,1
11154,"this is the chance to update default parameters, after the full raw is loaded.",1
11155,"this is the chance to update default parameters, after the full raw is loaded.",1
11156,"this is the chance to update default parameters, after the full raw is loaded.",1
11157,"this is the chance to update default parameters, after the full raw is loaded.",1
11158,"this is the chance to update default parameters, after the full raw is loaded.",1
11159,"this is the chance to update default parameters, after the full raw is loaded.",1
11160,"this is the chance to update default parameters, after the full raw is loaded.",1
11161,"this is the chance to update default parameters, after the full raw is loaded.",1
11162,"Initialize a VDO Page Completion, requesting a particular page from the cache.",1
11163,Sets the properties of all particles once their positions have been allocated.,1
11164,"The time of this event, currently in microseconds since program start (approx)",1
11165,Class that holds information about a property and it's required initial value.,1
11166,"Represents all aspects (rendering, collision, ...) for largescale city models.",1
11167,Stores two other values and returns one of them based on a specific condition.,1
11168,parameter structure that stores the transient events detector setup parameters,1
11169,A predicate object which decides whihc clusters belong to this filtered graph.,1
11171,This class allows to calculate texture coordinates for the associated texture.,1
11172,parameter structure that stores the transient events detector setup parameters,1
11173,"serves file_load, file_save, clear_data and mem_info commands for libsurfit_io",1
11174,"Explicit conversion from a simple pose, the additional values are set to zero.",1
11175,This exception class represents an exception occurring when a path is invalid.,1
11176,This base-class is used to apply a configuration to a (proximity-query) model.,1
11177,"This has n^2 performance, so is too slow for use on large numbers of segments.",1
11178,"This has n^2 performance, so is too slow for use on large numbers of segments.",1
11179,"Sets the size of the image by the numbers of voxels in i, j, and k directions.",1
11180,A simple interface that can supply one or more LevelMeters with current values,1
11181,checks if a key is (was) marked as cached at the moment the fuction is invoked,1
11183,brief This class implements a thread-safe counter used for reference counting.,1
11184,This is a unit test for the ContrastEnhancements contrast enhancement classes.,1
11185,"This class provides an implementation-independent API for file ""Save"" dialogs.",1
11186,"Break a (wn, tow) time stamp into components without considering leap seconds.",1
11187,Loads the LG's fon file and populates the given font instance with it's glyphs,1
11188,This node listens to the joint states and checks for collisions between links.,1
11189,"Class representing geometry of spherical packing, with some utility functions.",1
11190,"Class representing geometry of spherical packing, with some utility functions.",1
11192,class Mutex Represents a Mutex object to synchronize access to shaed resources.,1
11193,"Set the default keepalive configurations, must only be called at initialization",1
11194,"Set the default keepalive configurations, must only be called at initialization",1
11196,Load Stack Address. Pushes the address of a value relative to the stackpointer.,1
11197,A set of scaling values needed when using the shader-based log scale conversion,1
11198,Computes similarity between two images using correlation or mutual information.,1
11199,"Create a new question attached to the given site object, ready for marshalling.",1
11202,"Class using for presenting color using float RGBA values in range [0.0f, 1.0f].",1
11203,Constructs a new ctrl item The width cannot be changed once the item is created,1
11204,Stores all the intermediate computations for the two covariance Kronecker model,1
11205,Add the computed and exact specified variable to the solution data Multiarrays.,1
11206,Add the computed and exact specified variable to the solution data Multiarrays.,1
11207,Constructs a new ctrl item The width cannot be changed once the item is created,1
11208,This is the camera model for the New Horizons Mvic camera operating in Tdi mode,1
11210,"A container class for hold the X, Y and Z positions of points in a point cloud.",1
11211,This class trains the Variable Length Markov Chain using the context algorithm.,1
11212,"This is an item wrapper element, with a specifiable style for the wrapped item.",1
11213,"store the number of conflicts nbconf of (var,val) in the conflict datastructure",1
11214,A abstract base class for the internal representation of the association lists.,1
11215,Energy equation class using Stamatellos et al. (2007) radiation cooling scheme.,1
11216,A rule with a predicate. This rule matches if the predicate evaluates to #true.,1
11217,"This class encompasses non-autonomous, endogenous (no external inputs) systems.",1
11218,Allows for implementing evaluation heuristics by manually specifying the units.,1
11220,Class for models of electron charge density proportional to electric potential.,1
11221,Class for defining kernel function of a cubic with 1-dimensional (bar) support.,1
11222,"Sparse matrix representation which stores nonzero entries by i,j,value triples.",1
11223,formulas = conjunctions of predicates with variables. Predicates may be negated,1
11224,This class handles file IO operations for a space-separated-values data record.,1
11225,This class is for proximity queries between a capped rectangle and a rectangle.,1
11226,This class stores the data which results from a proximity query with 2D shapes.,1
11227,This class stores the data which results from a proximity query with 3D shapes.,1
11228,This class provides a set of functions for operating and automating a resource.,1
11229,"Defines all parameter addresses, default values and positions inside registers.",1
11230,"normal command for queue, processing is stopped if an error occurred in program",1
11231,Calculate the density in the neighborhood of a pixel using a gaussian function.,1
11233,Sources are how Scanner's computation graphs read data from outside the system.,1
11234,"The base class does nothing and returns true, thus leaving the image unchanged.",1
11235,"Earth-Centered, Earth-Fixed Cartesian position, velocity, clock bias and drift.",1
11236,"Prepares the render target (if necessary), like initializing video streams etc.",1
11237,"Prepares the render target (if necessary), like initializing video streams etc.",1
11238,nested iterator class using boost iterators to loop over the points of the grid,1
11239,allows handler to load some custom internal data before identifier finalization,1
11240,Bit array supporting negative and positive indices. Maps a single boolean value,1
11241,Abstract parent for bin file loaders. Handles the common parts of model loading,1
11242,"Lees-Edwards boundary conditions, with shear in the x-direction, relative to y.",1
11243,The ServerTileMapFormatDesc needs to be able to construct the importance table.,1
11244,Base class for editors that provides default implementation for common actions.,1
11245,Interface class for allowing script objects or functions to subscribe to events.,1
11247,Triggered whenever a state is added to the state manager. (Pairs with OnDestroy),1
11248,A particle affector which will change the colour of particles over its lifetime.,1
11249,Constructor. Contructs a rounded hypercube with center aCenter and width aWidth.,1
11250,This define an avatar that can be drawn in any direction with different sprites.,1
11251,Called whenever a node belonging to this manager first moves under the crosshair,1
11252,This is the class used to strip comments (and whitespace) from any input stream.,1
11253,This is the class used to aggregate the calculated overconsumption by predators.,1
11254,This is the class used to fit a log linear regression line to compare 2 vectors.,1
11257,Interface for a class that can convert Images to and from various image formats.,1
11258,We avoid propagating the input region to the output by overloading this function,1
11259,We avoid propagating the input region to the output by overloading this function,1
11262,Constructs a new float item The width cannot be changed once the item is created,1
11263,Constructs a new float item The width cannot be changed once the item is created,1
11264,Constructs a new float item The width cannot be changed once the item is created,1
11265,Constructs a new float item The width cannot be changed once the item is created,1
11266,Constructs a new float item The width cannot be changed once the item is created,1
11267,Constructs a new float item The width cannot be changed once the item is created,1
11268,"a set of attributes, one float per particle (with min/max info and logical name)",1
11269,"Thread Pool. Mainly implemented by thread, queue, future and condition_variable.",1
11273,Overrides the normal segmented cloud iterative description to be more efficient.,1
11274,Align - Calculate average force and move towards it (use velocity if available).,1
11276,Creates a denormalizer that will use min and max data obtained from the dataset.,1
11277,Creates a denormalizer that will use min and max data obtained from the dataset.,1
11278,Creates a new ChartLayer on the heap and initializes it with the default values.,1
11279,Implements a plugin into the parser for parsing special non-standard HEX-syntax.,1
11280,"A R1CS example comprises a R1CS constraint system, R1CS input, and R1CS witness.",1
11281,"A USCS example comprises a USCS constraint system, USCS input, and USCS witness.",1
11283,"Other data as the start/stop angle, the start/end timestamp are also considered.",1
11284,class to compactly represent tangent vectors of the manifold of constant TT-rank,1
11286,It allows the HParser to access a generic array without knowing what kind it is.,1
11287,Base class for algorithm decorators. Defines common methods for derived classes.,1
11289,Meta-parameters for the Locally Weighted Regression (LWR) function approximator.,1
11291,Utility functions These functions provide certain basic input/output facilities.,1
11292,"This is a tiny, growable hash class. Meant for quick and dirty dictionaries only!",1
11293,"Currently incomplete, but could be a helpful class for dealing with UTF-8 streams",1
11294,Triggered whenever a state is removed from the state manager. (Pairs with OnInit),1
11295,Class representing common functionality of a request - response state and context,1
11296,Interface for font instance that can be used to query glyph metadata and bitmaps.,1
11297,This is the class used to calculate the suitability based on a Richards function.,1
11298,Creates a synchronized record from a main record and a vector of synched records.,1
11299,Implements Normalised Mutual Information of a histogram for a similarity measure.,1
11300,Implement a gradient descent optimization suitable for FFD and Fluid deformation.,1
11301,Adapt the initial mesh if a adaptation parameters are provided in the input file.,1
11302,"Class that represents the ""intersection object"" of a spline curve of dimension 1.",1
11303,"general class representing a linear body force, e.g. gravity over short distances",1
11304,This is the camera model for the Kaguya Multiband pushbroom imagers (VIR and NIR),1
11305,"A Choose result iterator, probably OS dependant, select does not work with it yet",1
11306,The Tensor class encompasses only dynamic-size objects so far. TopicStorageOrders,1
11308,Default constructor. Creates info that declares no candidates and uniform orders.,1
11309,The Tensor class encompasses only dynamic-size objects so far. TopicStorageOrders,1
11310,"When the rule is executed, a random rule is chosen from the multiple definitions,",1
11311,Set all statically defined config options to their defaults defined by this->def.,1
11312,"This is an item wrapper element, with a specifiable node to create the item with.",1
11313,Extend this based on the type of the DataFlash message you wish to take data from,1
11314,Update the underlying routing infomation. Implementation is up to the child class,1
11315,Update the underlying routing infomation. Implementation is up to the child class,1
11316,Base class for writers. They must know how to write into the destination protocol,1
11317,This is a special callback which only records whether or not add_tasks was called,1
11318,This structure is used to keep track of the iterator states during the iteration.,1
11319,Run the program. Processes only once (refer to subclasses for looped processing).,1
11320,Class for defining objects that manage the dependencies of standard library sets.,1
11321,Class for defining kernel function of a quartic with 1-dimensional (bar) support.,1
11322,ambient light and point lights are the only light supported by the engine engine.,1
11323,computes the corrected exchange correlation potential using the hartree potential,1
11324,This is the implementation of a class that is used to handle shading description.,1
11325,Base class for a .dot exporter. The dot language is a graph description language.,1
11326,where xyz is an ever increasing identifier going from starting from aaaa to zzzz.,1
11327,Constructor. Arguments are the A and B models linked by this graph edge of mates.,1
11328,Class representing common functionality of a request - response state and context,1
11329,"Value of a vector valued option (bools, ints, floats, strings, points), template.",1
11330,This class represents a triangle. A triangle has three points in Cartesian plane.,1
11332,A panel containing a text control and a button for inputing a number and dialing.,1
11333,Model parameters for the Gaussian Process Regression (GPR) function approximator.,1
11334,Model parameters for the Locally Weighted Regression (LWR) function approximator.,1
11335,Encapsula a un bloque representativo de un conjunto especial de bloques de texto.,1
11336,"Controlled NOT gate If the control is set to 1, the target bit is NOT-ed or X-ed.",1
11337,Copies data from src->data to dst->data and updates size and capacity accordingly.,1
11338,Enforces GLC on time filtered atomic forces based on FE stresses or accelerations.,1
11339,Enforces GLC on time filtered atomic forces based on FE stresses or accelerations.,1
11340,"Simple 2D point struct (unit of ""x"" and ""y"" are not defined here and app specific)",1
11341,The destructor doesn't do anything since logical channels should not be destroyed.,1
11342,This is the class used to calculate the suitability based on an Andersen function.,1
11343,The identifier string must be the same on the collector side to map both instances,1
11344,Component used for labeling entities for which the debug primitives will be drawn.,1
11345,This lexer breaks down a string into a sequence of tokens that can then be parsed.,1
11346,the number of images in the data or number of kernels in the weights (default = 1),1
11347,Abstract class defining a mixer mixing zero or more inputs to one or more outputs.,1
11349,This is the camera model for the Lunar Reconnaissance Orbiter narrow angle camera.,1
11350,Assembly trampoline responsible for transferring the control flow to ioTrapHandler,1
11351,"Registry for custom serializable types, both PDXSerializable and DataSerializable.",1
11352,"Mix-in class providing logging functionality, with instance-specific print levels.",1
11353,The destructor doesn't do anything since logical channels should not be destroyed.,1
11354,"Stores staring/ending primitives (pads, vias or segments) for a differential pair.",1
11355,This class implements the basic capabilities to load and control an OpenGL shader.,1
11357,structure that store all necessary stamp information of the paper for each literal,1
11358,Abstract class defining a mixer mixing zero or more inputs to one or more outputs.,1
11359,Pruning parameters for one radius (expressed as a ratio to the Gaussian heuristic),1
11360,Pruning parameters for one radius (expressed as a ratio to the Gaussian heuristic),1
11361,Single iteration step for updating the radiation field using the tree-MCRT method.,1
11363,Processes and renders a simple rectangle with foreground and background gradients.,1
11364,"A basic wrapper for Raw arrays, which provides resizing and automatic destruction.",1
11366,Abstract class defining a mixer mixing zero or more inputs to one or more outputs.,1
11367,Default base class for SAX2 handlers. Note that the use of this class is optional.,1
11368,Generic regridder Expects to identically sized matrices (data & k-space positions),1
11369,Enforces constraint on atomic kinetic energy based on FE temperature and velocity.,1
11370,Enforces GLC on time filtered atomic forces based on FE stresses or accelerations.,1
11371,A import / export class for point cloud data in the PointCloudLibrary file format.,1
11372,This class chooses the best nearest-neighbor algorithm and its optimal parameters.,1
11373,Eliminates core orbitals from the density matrix for pseudopotential calculations.,1
11374,This class handles file IO operations for a space-separated-values data extractor.,1
11375,This class is the base class for all the kinetostatic transmission elements (KTE).,1
11376,This class can be used as the base for a dynamically polymorphic KNN synchronizer.,1
11377,Box for putting things in. The box and the thing can then be refcounted as a unit.,1
11378,Called upon a mouse click at a specified position. Currently only affects targets.,1
11379,Provides interface for receiving events with regard to the associated participant.,1
11380,"Get the raw advertising payload for the current device state, exposed for testing.",1
11382,The constructor for the parent class of all requests originating within the server,1
11383,Set the _selected flag in case the object is entirely overlapped by select_in box.,1
11384,Constructor. Set EphemerisNumber to -1 to indicate that nothing has been read yet.,1
11385,"In GCAT tropospheric model, this is a dummy method kept here just for consistency.",1
11386,"In GCAT tropospheric model, this is a dummy method kept here just for consistency.",1
11387,"In MOPS tropospheric model, this is a dummy method kept here just for consistency.",1
11388,"In MOPS tropospheric model, this is a dummy method kept here just for consistency.",1
11389,"In Neill tropospheric model, this is a dummy method kept here just for consistency",1
11390,Compute satellite position & velocity at the given time using this ephemeris data.,1
11391,Constructor. Set EphemerisNumber to -1 to indicate that nothing has been read yet.,1
11392,Applications create an instance of this to start processing a pcap trace. Example:,1
11393,Class that encapsulates a method to execute and the object on which to execute it.,1
11395,A particle affector which will change the angular velocity of a particle over time.,1
11396,"Abstract RibMgr callback Interface to receive VRF, Route updates etc from NXOS RIB.",1
11397,This define an avatar that can be drawn in any direction with different animations.,1
11399,Performs the computation M1 = M2 * M3 where: M1 = (m x n) M2 = (m x p) M3 = (p x n),1
11400,Base implementation for all container objects for Paravis serevrmanager API classes,1
11401,Classe virtuelle permettant de dfinir plusieurs types d'objets avec un type commun.,1
11402,Called when the window is pushed to the screen when it's not loaded. Create layout.,1
11403,Classifies set of possible modifications to an object in the service configuration.,1
11404,"Indicate if the signal contains RDS or not. 0=> No, 1 => Yes, -1 => Not initialized",1
11405,"average actor velocity, calculated using the actor positions of the last two frames",1
11406,"This class represents the ""intersection object"" of a spline surface of dimension 1.",1
11407,"The staticStats has no statistics, they should be set via the mutator methods below",1
11408,ambient light and point lights are the only light supported by the irrlicht engine.,1
11409,Class that stores state and functions for interacting with CCS811 gas sensor chips.,1
11410,Wrapper class to simulate either one of two return types of the transform function.,1
11411,This method estimates the angular velocity by passing the latest orientation frame.,1
11412,This class implements a haptic magnetic effect when the tool approaches the object.,1
11416,"Renames this file to the passed one, overwriting an existing file of the same name.",1
11417,"Selecting styles of command (like line style, color scheme, font style, axis style)",1
11418,"Product of criterion functions. Unintiutive, but it might come handy in the future.",1
11419,creates a 'stat' entry with name and addres for counter duplicates are not allowed.,1
11420,The Track manager assigns track ids to the given matches with different strategies.,1
11421,Track manager simply writing track ids into the given frames for the given matches.,1
11422,This class implements a smoothly broken power law spectrum. The model is defined by,1
11424,Attach components to require shared memory segments and synchronization structures.,1
11425,Class for functions returning values according to a Gaussian distribution in space.,1
11426,Classifier for normal and area based cluster interpretation as presented in KI2011.,1
11427,Classifier for normal and area based cluster interpretation as presented in KI2011.,1
11428,gets an animateable mesh. loads it if needed. returned pointer must not be dropped.,1
11429,This method performs a force clearance pass (i.e. resets all force values to zero).,1
11430,This method performs a force clearance pass (i.e. resets all force values to zero).,1
11431,This method performs a force clearance pass (i.e. resets all force values to zero).,1
11432,This method performs a force clearance pass (i.e. resets all force values to zero).,1
11433,This method performs a force clearance pass (i.e. resets all force values to zero).,1
11434,This simple POD type stores a vertex descriptor and its backward and forward reach.,1
11435,"Constructor, read from xrc ressource; restore last uses settings, size and position",1
11436,It can be used in two ways. First to save a timeline: Or to save loop performances:,1
11437,It can be used in two ways. First to save a timeline: Or to save loop performances:,1
11438,"Sets the orientation of the image by the normal vectors for the i, j and k indeces.",1
11439,"Substitutes the point specified by 'id' with a point specified by 'x', 'y' and 'z'.",1
11440,Calculate the density in the neighborhood of a pixel using a simple cut off method.,1
11442,This class creates a bar graph gauge to be used to display a single sensor reading.,1
11444,This is a generic class used as the base for various file input and output modules.,1
11445,"In Neill tropospheric model, this is a dummy method kept here just for consistency,",1
11446,"Returns a gnnsRinex object, adding the new data generated when calling this object.",1
11447,"If not NULL, a binary prefix header on files to tell if files are encrypted or not.",1
11448,Meta-parameters for the Radial Basis Function Network (RBFN) function approximator.,1
11449,A database object for a class which can be used to query or modify class properties,1
11450,allows handler to do post-loading step for validation or integration of loaded data,1
11451,Generates a signal based on a linear curve between two points over a given duration.,1
11455,The class thats responsible for loading config objects from and to the config folder,1
11456,"Wrapper class used to manage windows and OpenGL contexts together, os independently.",1
11458,"We creating it somewhere with LogPrint(), then put in MsgQueue for later processing.",1
11459,Synchronize the rendering pipeline. Usually not required unless measuring something.,1
11460,Virtual class that provide all the callback routines to control the synchronization.,1
11461,This class contains static methods for unit conversion. Partial implementation only.,1
11462,Creates an HTTP1 protocol object and handles any unread data in the buffer (if any).,1
11463,This class models the reaction force of a tool moving through a viscous environment.,1
11464,Saves the passed asset to the filename indicated by the GluonObject's file property.,1
11465,commits all changes. This is called by the engine after the update function returns.,1
11466,Used to store multiple different types for the extra fields provided to the library.,1
11467,This class is used to project/simplify/smooth polylines over a triangulated surface.,1
